name,slug,category,price,variations,image_url
سوريا 1,syria-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1qgg-uqDR-GK0yi8lv0WA7e2tWcA8sSc7/view?usp=drive_link
سوريا 2,syria-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1PtTnpadrkY0H7hq7AKbId324_pgOfdPF/view?usp=sharing
سوريا لابتوب 1,syria-laptop-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1c2mEfK8XQPLq75rcfsLlm2cttrkorjTI/view?usp=sharing
سوريا لابتوب 2,syria-laptop-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1ExsllHHxtqmInPIADYz-TOA_KcLK4sDZ/view?usp=sharing
سوريا لابتوب 3,syria-laptop-3,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1dJ8TVPq60yV-L8wgqBcvI2zdZXtqApK2/view?usp=sharing
سوريا لابتوب 4,syria-laptop-4,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1ys0lZeYU1p3cAdI4_R2_dhCvgIpwct7o/view?usp=sharing
سفر 1,travel-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/15FzUijjyVNb988-HV7otRyKqgexnUC87/view?usp=sharing
سفر 2,travel-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1aULMSYDiU4KNCZhBnTZHqxHO9uTf_ACD/view?usp=sharing
سفر 3,travel-3,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1yTf5rPqhu8bKAA-Dg1AG2rPYlc6wdMTs/view?usp=sharing
سفر 4,travel-4,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1Vrqewzh7CeRR_nZ0PqcXcNlETl4KHY7U/view?usp=sharing
برمجة لابتوب 1,programming-laptop-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1Vy_JujpoGmlfyhA9GOdFXSmFW58DRYY3/view?usp=sharing
برمجة لابتوب 2,programming-laptop-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1H7xGOwcbkI4yIx_uUXjB-xyfuJCcQsGo/view?usp=sharing
برمجة 1,programming-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1ALrc52QsHL1w_ZHmJN2NJHih6aLThU9f/view?usp=sharing
برمجة 2,programming-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1v_qPhu-f5tgvT1deI1Dzav70fXo7WN0k/view?usp=sharing
صيدلة,pharmacist,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/12DGJu6dE3TOcZUkeJSHGiP-iX8ghb_CM/view?usp=sharing
طب 1,medicin-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/12TbVq6Sl8G42oa6eGT6TAjN-TaJIY7EK/view?usp=sharing
طب 2,medicin-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1I3vyhC6tGBw5ViHePFzsSb7iM6TbaFYP/view?usp=sharing
طب 3,medicin-3,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1gP9oLqVHWSP77Y3FBelQts6XvFsliWCQ/view?usp=sharing
هندسة عمارة,architecture,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1vPzo-khdKTm2709IbVl-alas2uNzurd8/view?usp=sharing
هندسة عمارة لابتوب 1,architecture-laptop-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1R_jUN3LWhiAhzoqNooHhHnEUmiz9DEzm/view?usp=sharing
هندسة عمارة لابتوب 2,architecture-laptop-2,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/1iGNI0dheC4pZldZ0XCf4BdUJE_H5GuI8/view?usp=sharing
فضاء 1,space-1,ستيكرز,100,"waterproof-stickers,holographic-stickers,transparent-stickers",https://drive.google.com/file/d/16KkDYUKSNrquvIWaYqt-X5PNMFUcw976/view?usp=sharing
